Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
3.de.pool.ntp.org;0;0.000061;0.013087;0.009478;1.028303
3.de.pool.ntp.org;1;0.000021;0.013449;0.010605;1.030895
3.de.pool.ntp.org;2;0.000065;0.013449;0.010185;1.028467
3.de.pool.ntp.org;3;0.000016;0.013449;0.009395;1.028567
3.de.pool.ntp.org;4;0.000009;0.014805;0.011282;1.026964
3.de.pool.ntp.org;5;0.000051;0.013449;0.009424;1.030820
3.de.pool.ntp.org;6;0.000030;0.013449;0.010458;1.029138
3.de.pool.ntp.org;7;0.000030;0.013449;0.009302;1.028894
3.de.pool.ntp.org;8;0.000039;0.002776;0.010690;1.027641
3.de.pool.ntp.org;9;0.000014;0.009237;0.006072;1.028596
3.de.pool.ntp.org;10;0.000010;0.009237;0.009863;1.029222
3.de.pool.ntp.org;11;0.000039;0.009237;0.010477;1.029244
3.de.pool.ntp.org;12;0.000026;0.039712;0.025928;1.022709
3.de.pool.ntp.org;13;0.000043;0.009551;0.005915;1.028595
3.de.pool.ntp.org;14;0.000040;0.009551;0.009558;1.029514
3.de.pool.ntp.org;15;0.000003;0.008689;0.010259;1.029012
3.de.pool.ntp.org;16;0.000040;0.014001;0.013073;1.030389
3.de.pool.ntp.org;17;0.000057;0.014215;0.005965;1.028851
3.de.pool.ntp.org;18;0.000005;0.014215;0.009493;1.029780
3.de.pool.ntp.org;19;0.000018;0.014215;0.010451;1.029020
3.de.pool.ntp.org;20;0.000032;0.014215;0.012761;1.029933
3.de.pool.ntp.org;21;0.000036;0.014215;0.009435;1.030023
3.de.pool.ntp.org;22;0.000056;0.014215;0.010166;1.029489
3.de.pool.ntp.org;23;0.000004;0.013374;0.012652;1.030260
3.de.pool.ntp.org;24;0.000045;0.013410;0.005947;1.029227
3.de.pool.ntp.org;25;0.000001;0.013410;0.009394;1.030313
3.de.pool.ntp.org;26;0.000005;0.013410;0.010183;1.029863
3.de.pool.ntp.org;27;0.000029;0.013410;0.010236;1.029965
3.de.pool.ntp.org;28;0.000001;0.013410;0.009777;1.030949
3.de.pool.ntp.org;29;0.000010;0.013410;0.011754;1.032821
3.de.pool.ntp.org;30;0.000002;0.013410;0.010135;1.030146
3.de.pool.ntp.org;31;0.000020;0.006517;0.010480;1.030095
3.de.pool.ntp.org;32;0.000015;0.002173;0.009768;1.031090
3.de.pool.ntp.org;33;0.000040;0.004580;0.011683;1.032793
3.de.pool.ntp.org;34;0.000016;0.003831;0.010203;1.030272
3.de.pool.ntp.org;35;0.000035;0.004580;0.010249;1.030291
3.de.pool.ntp.org;36;0.000045;0.003831;0.010410;1.031285
3.de.pool.ntp.org;37;0.000054;0.004479;0.012007;1.032663
3.de.pool.ntp.org;38;0.000012;0.004479;0.010326;1.030514
3.de.pool.ntp.org;39;0.000064;0.003583;0.010216;1.030521
3.de.pool.ntp.org;40;0.000059;0.003913;0.009727;1.031632
3.de.pool.ntp.org;41;0.000018;0.003913;0.011676;1.033271
3.de.pool.ntp.org;42;0.000026;0.003898;0.010155;1.030867
3.de.pool.ntp.org;43;0.000013;0.003913;0.010349;1.031104
3.de.pool.ntp.org;44;0.000060;0.004389;0.011921;1.033634
3.de.pool.ntp.org;45;0.000015;0.003898;0.010603;1.030575
3.de.pool.ntp.org;46;0.000034;0.004504;0.009424;1.031178
3.de.pool.ntp.org;47;0.000055;0.011237;0.006057;1.031094
3.de.pool.ntp.org;48;0.000043;0.014016;0.013065;1.031432
3.de.pool.ntp.org;49;0.000058;0.014016;0.009766;1.030961
